ilosc budowa szukanie usuwanie
1000 1050400 1543540 13180
2000 4536680 11140800 32760
3000 10865180 27243980 37980
4000 19626540 50878300 70360
5000 31347260 79161700 66520
6000 45786400 117047700 80720
7000 62684880 162483620 82160
8000 84908520 229277640 109760
9000 116720880 335597180 129380
10000 150041460 439719260 136520
11000 195864780 568089940 150760
12000 246210300 714355120 165140
13000 303804180 882456620 201020
14000 370444160 1068891040 220780
15000 446332600 1263400520 218060
